19980101    8124 S21W79   349  0110 CAO  10   06 BG
19980101    8126 N22W38   308  0210 CKO  04   06 B
19980101    8130 S29W11   281  0070 DSO  07   13 B
19980102    8124 S22W90   346  0060 HSX  02   01 A
19980102    8126 N20W51   307  0180 DAO  05   09 B
19980102    8130 S28W23   279  0050 DSO  07   10 B
19980103    8126 N21W62   305  0150 DAO  05   07 B
19980103    8130 S28W35   278  0010 BXO  06   04 B
19980104    8126 N22W74   304  0110 DAO  08   07 B
19980104    8130 S28W47   277  0010 BXO  08   03 B
19980105    8126 N23W91   308  0040 HSX  02   01 A
19980105    8129 N23W54   271  0010 AXX  00   01 A
19980106    8129 N24W66   270  0010 AXX  02   02 A
19980106    8130 S29W64   268  0010 AXX  00   01 A
19980110    8131 S26E19   132  0010 BXO  02   04 B
19980111    8131 S24E10   128  0020 BXO  11   06 B
19980111    8132 S18E03   135  0010 BXO  03   02 B
19980111    8133 N04E24   114  0010 AXX  00   02 A
19980111    8134 N15E73   065  0000 AXX  00   01 A
19980112    8131 S23E04   120  0190 DRI  09   25 BG
19980112    8132 S19W11   135  0010 BXO  04   04 B
19980112    8134 N16E61   063  0000 AXX  01   01 A
19980113    8131 S22W10   121  0150 DSI  09   20 BG
19980113    8132 S19W25   136  0010 BXO  05   03 B
19980113    8135 S17E69   042  0000 AXX  00   01 A
19980114    8131 S22W22   120  0180 DSI  10   21 BG
19980114    8135 S17E56   042  0010 BXO  05   02 B
19980115    8131 S23W35   120  0340 EAI  11   24 BG
19980115    8135 S16E43   042  0010 BXO  06   02 B
19980116    8131 S24W49   121  0290 EKI  11   18 BG
19980116    8135 S17E26   046  0000 AXX  00   01 A
19980116    8136 N15W24   096  0030 CRO  05   10 B
19980116    8137 S16E10   062  0010 BXO  04   05 B
19980116    8138 S44W49   121  0020 BXO  04   04 B
19980117    8131 S23W61   120  0230 DKO  11   10 BG
19980117    8135 S18E15   044  0020 BXO  05   06 B
19980117    8136 N15W37   095  0030 CRO  06   04 B
19980117    8137 S15W02   061  0010 BXO  02   02 B
19980117    8138 S43W61   120  0030 CSO  06   04 B
19980117    8139 N14E37   022  0010 AXX  03   03 A
19980118    8131 S23W74   119  0180 CAO  09   05 B
19980118    8135 S18E03   042  0010 AXX  01   02 A
19980118    8136 N16W51   096  0030 BXO  04   03 B
19980118    8138 S42W76   121  0030 BXO  06   02 B
19980118    8139 N13E24   021  0020 BXO  03   05 B
19980119    8131 S24W88   120  0050 BXO  10   04 B
19980119    8135 S18W09   041  0020 BXO  04   04 B
19980119    8136 N15W67   099  0000 AXX  00   01 A
19980119    8138 S43W86   118  0010 BXO  04   02 B
19980119    8139 N14E12   020  0010 BXO  03   05 B
19980119    8140 S14W61   093  0000 AXX  00   01 A
19980119    8141 N26E48   344  0000 AXX  00   01 A
19980120    8135 S17W21   040  0010 BXO  03   03 B
19980120    8139 N14W02   021  0010 BXO  01   03 B
19980120    8140 S14W75   094  0000 AXX  00   01 A
19980120    8141 N25E36   343  0010 BXO  05   03 B
19980121    8135 S18W36   042  0000 BXO  02   02 B
19980121    8141 N26E22   344  0010 BXO  05   03 B
19980122    8141 N26E06   347  0010 AXX  00   01 A
19980122    8142 S21E07   346  0010 BXO  03   05 B
19980122    8143 S35E72   281  0010 AXX  00   01 A
19980123    8141 N26W07   346  0000 AXX  00   01 A
19980123    8142 S21W06   345  0020 CRO  04   07 B
19980123    8143 S35E59   280  0080 CAO  07   08 B
19980123    8144 N12E64   275  0000 AXX  00   01 A
19980124    8141 N25W20   346  0000 AXX  00   01 A
19980124    8142 S21W20   346  0050 DSI  07   10 B
19980124    8143 S34E47   279  0180 CAO  14   10 B
19980124    8144 N13E49   277  0000 AXX  00   01 A
19980124    8145 N28E59   267  0020 BXO  04   05 B
19980124    8146 N15E62   264  0000 AXX  00   01 A
19980125    8141 N26W34   347  0000 AXX  00   01 A
19980125    8142 S21W35   348  0090 CAO  07   08 B
19980125    8143 S35E36   277  0200 ESO  15   14 BG
19980125    8144 N13E37   276  0010 BXO  04   02 B
